stateid,countryid,stateshortname,statename,lat,lng
1,169,IN-BR,Bihar,25.0961,85.3131
2,169,IN-PY,Puducherry,11.9416,79.8083
3,169,IN-DD,Daman and Diu,20.3974,72.8328
4,169,IN-DN,Dadra and Nagar Haveli,20.1809,73.0169
5,169,IN-DL,Delhi,28.7041,77.1025
6,169,IN-NL,Nagaland,26.1584,94.5624
7,169,IN-WB,West Bengal,22.9868,87.8551
8,169,IN-HR,Haryana,29.0588,76.0856
9,169,IN-HP,Himachal Pradesh,31.1048,77.1734
10,169,IN-AS,Assam,26.2006,92.9376
11,169,IN-UT,Uttaranchal,30.0668,79.0193
12,169,IN-JH,Jharkhand,23.6102,85.2799
13,169,IN-JK,Jammu and Kashmir,33.2778,75.3412
14,169,IN-UP,Uttar Pradesh,26.8467,80.9462
15,169,IN-SK,Sikkim,27.5331,88.5122
16,169,IN-MZ,Mizoram,23.1645,92.9376
17,169,IN-CT,Chhattisgarh,21.2787,81.8661
18,169,IN-CH,Chandigarh,30.7333,76.7794
19,169,IN-GA,Goa,15.2993,74.1241
20,169,IN-GJ,Gujarat,22.2587,71.1924
21,169,IN-RJ,Rajasthan,27.0238,74.2179
22,169,IN-MP,Madhya Pradesh,22.9734,78.6569
23,169,IN-OR,Orissa,20.9517,85.0985
24,169,IN-TN,Tamil Nadu,11.1271,78.6569
25,169,IN-AN,Andaman and Nicobar,11.7401,92.6586
26,169,IN-AP,Andhra Pradesh,15.9129,79.7401
27,169,IN-TR,Tripura,23.9408,91.9882
28,169,IN-AR,Arunachal Pradesh,28.2181,94.7278
29,169,IN-KA,Karnataka,15.3173,75.7139
30,169,IN-PB,Punjab,31.1471,75.3412
31,169,IN-ML,Meghalaya,25.4671,91.3662
32,169,IN-MN,Manipur,24.6637,93.9063
33,169,IN-MH,Maharashtra,19.7515,75.7139
34,169,IN-KL,Kerala,10.8505,76.2711
